"Week";"Status";"GlassID";"treatment"
8;0;"brake_abrasion__0.5__7";"brake_abrasion__0.5"
4;1;"brake_abrasion__0.5__7";"brake_abrasion__0.5"
4;1;"brake_abrasion__0.5__7";"brake_abrasion__0.5"
4;1;"brake_abrasion__0.5__7";"brake_abrasion__0.5"
4;1;"brake_abrasion__0.5__7";"brake_abrasion__0.5"
4;1;"brake_abrasion__0.5__7";"brake_abrasion__0.5"
4;1;"brake_abrasion__0.5__8";"brake_abrasion__0.5"
4;1;"brake_abrasion__0.5__8";"brake_abrasion__0.5"
4;1;"brake_abrasion__0.5__8";"brake_abrasion__0.5"
4;1;"brake_abrasion__0.5__8";"brake_abrasion__0.5"
4;1;"brake_abrasion__0.5__8";"brake_abrasion__0.5"
4;1;"brake_abrasion__0.5__8";"brake_abrasion__0.5"
4;1;"brake_abrasion__2__1";"brake_abrasion__2"
4;1;"brake_abrasion__2__1";"brake_abrasion__2"
4;1;"brake_abrasion__2__1";"brake_abrasion__2"
4;1;"brake_abrasion__2__1";"brake_abrasion__2"
4;1;"brake_abrasion__2__1";"brake_abrasion__2"
4;1;"brake_abrasion__2__1";"brake_abrasion__2"
4;1;"brake_abrasion__2__2";"brake_abrasion__2"
4;1;"brake_abrasion__2__2";"brake_abrasion__2"
4;1;"brake_abrasion__2__2";"brake_abrasion__2"
4;1;"brake_abrasion__2__2";"brake_abrasion__2"
4;1;"brake_abrasion__2__2";"brake_abrasion__2"
4;1;"brake_abrasion__2__2";"brake_abrasion__2"
4;1;"brake_abrasion__2__3";"brake_abrasion__2"
4;1;"brake_abrasion__2__3";"brake_abrasion__2"
4;1;"brake_abrasion__2__3";"brake_abrasion__2"
4;1;"brake_abrasion__2__3";"brake_abrasion__2"
4;1;"brake_abrasion__2__3";"brake_abrasion__2"
4;1;"brake_abrasion__2__3";"brake_abrasion__2"
8;1;"brake_abrasion__2__4";"brake_abrasion__2"
4;1;"brake_abrasion__2__4";"brake_abrasion__2"
4;1;"brake_abrasion__2__4";"brake_abrasion__2"
4;1;"brake_abrasion__2__4";"brake_abrasion__2"
4;1;"brake_abrasion__2__4";"brake_abrasion__2"
4;1;"brake_abrasion__2__4";"brake_abrasion__2"
4;1;"brake_abrasion__2__5";"brake_abrasion__2"
4;1;"brake_abrasion__2__5";"brake_abrasion__2"
4;1;"brake_abrasion__2__5";"brake_abrasion__2"
4;1;"brake_abrasion__2__5";"brake_abrasion__2"
4;1;"brake_abrasion__2__5";"brake_abrasion__2"
4;1;"brake_abrasion__2__5";"brake_abrasion__2"
4;1;"brake_abrasion__2__6";"brake_abrasion__2"
4;1;"brake_abrasion__2__6";"brake_abrasion__2"
4;1;"brake_abrasion__2__6";"brake_abrasion__2"
4;1;"brake_abrasion__2__6";"brake_abrasion__2"
4;1;"brake_abrasion__2__6";"brake_abrasion__2"
4;1;"brake_abrasion__2__6";"brake_abrasion__2"
8;0;"brake_abrasion__2__7";"brake_abrasion__2"
8;1;"brake_abrasion__2__7";"brake_abrasion__2"
4;1;"brake_abrasion__2__7";"brake_abrasion__2"
4;1;"brake_abrasion__2__7";"brake_abrasion__2"
4;1;"brake_abrasion__2__7";"brake_abrasion__2"
4;1;"brake_abrasion__2__7";"brake_abrasion__2"
4;1;"brake_abrasion__2__8";"brake_abrasion__2"
4;1;"brake_abrasion__2__8";"brake_abrasion__2"
4;1;"brake_abrasion__2__8";"brake_abrasion__2"
4;1;"brake_abrasion__2__8";"brake_abrasion__2"
4;1;"brake_abrasion__2__8";"brake_abrasion__2"
4;1;"brake_abrasion__2__8";"brake_abrasion__2"
8;0;"control__0__1";"control__0"
8;0;"control__0__1";"control__0"
8;0;"control__0__1";"control__0"
8;0;"control__0__1";"control__0"
8;0;"control__0__1";"control__0"
8;0;"control__0__1";"control__0"
8;0;"control__0__2";"control__0"
8;0;"control__0__2";"control__0"
8;0;"control__0__2";"control__0"
8;0;"control__0__2";"control__0"
8;0;"control__0__2";"control__0"
4;1;"control__0__2";"control__0"
8;0;"control__0__3";"control__0"
8;0;"control__0__3";"control__0"
8;0;"control__0__3";"control__0"
8;0;"control__0__3";"control__0"
8;0;"control__0__3";"control__0"
8;0;"control__0__3";"control__0"
8;0;"control__0__4";"control__0"
8;0;"control__0__4";"control__0"
8;0;"control__0__4";"control__0"
8;0;"control__0__4";"control__0"
8;0;"control__0__4";"control__0"
4;1;"control__0__4";"control__0"
8;0;"control__0__5";"control__0"
8;0;"control__0__5";"control__0"
8;0;"control__0__5";"control__0"
8;0;"control__0__5";"control__0"
8;0;"control__0__5";"control__0"
8;0;"control__0__5";"control__0"
8;0;"control__0__6";"control__0"
8;0;"control__0__6";"control__0"
8;0;"control__0__6";"control__0"
8;0;"control__0__6";"control__0"
8;0;"control__0__6";"control__0"
8;0;"control__0__6";"control__0"
8;0;"control__0__7";"control__0"
8;0;"control__0__7";"control__0"
8;0;"control__0__7";"control__0"
8;0;"control__0__7";"control__0"
8;0;"control__0__7";"control__0"
8;0;"control__0__7";"control__0"
8;0;"control__0__8";"control__0"
8;0;"control__0__8";"control__0"
8;0;"control__0__8";"control__0"
8;0;"control__0__8";"control__0"
8;0;"control__0__8";"control__0"
8;1;"control__0__8";"control__0"
8;0;"exhaust_particles__0.5__1";"exhaust_particles__0.5"
