"Treatment";"Pollutant";"Sample";"CAT";"GST";"LPO";"Concentration";"GlassID";"treatment"
"E. P. 0.5 Vol.-%";"exhaust_particles";"651";9,852512466;4,750834449;59,02562013;"0.5";"65";"exhaust_particles__0.5"
"E. P. 0.5 Vol.-%";"exhaust_particles";"652";10,11312693;16,89165835;41,4503587;"0.5";"65";"exhaust_particles__0.5"
"E. P. 0.5 Vol.-%";"exhaust_particles";"653";5,183139854;5,602677005;81,57646697;"0.5";"65";"exhaust_particles__0.5"
"MP-F. 0.5 Vol.-%";"MP_fibers";"661";10,44368187;13,23803602;45,27240104;"0.5";"66";"MP_fibers__0.5"
"MP-F. 0.5 Vol.-%";"MP_fibers";"662";11,01561003;8,944966039;43,17913029;"0.5";"66";"MP_fibers__0.5"
"MP-F. 0.5 Vol.-%";"MP_fibers";"663";8,731994241;-6,428386023;33,35185038;"0.5";"66";"MP_fibers__0.5"
"E. P. 2 Vol.-%";"exhaust_particles";"671";7,996318247;24,84487307;62,0019859;"2";"67";"exhaust_particles__2"
"E. P. 2 Vol.-%";"exhaust_particles";"672";9,197595129;13,02134198;25,45271024;"2";"67";"exhaust_particles__2"
"MP-F. 2 Vol.-%";"MP_fibers";"31";13,50976477;6,902706279;58,27852917;"2";"3";"MP_fibers__2"
"MP-F. 2 Vol.-%";"MP_fibers";"32";8,262363076;-4,850310005;33,91440479;"2";"3";"MP_fibers__2"
"MP-F. 2 Vol.-%";"MP_fibers";"33";10,43725418;17,94916307;41,67284161;"2";"3";"MP_fibers__2"
"MP-F. 2 Vol.-%";"MP_fibers";"131";11,34073954;29,23820457;69,48979004;"2";"13";"MP_fibers__2"
"MP-F. 2 Vol.-%";"MP_fibers";"132";5,636304751;37,89267529;52,63613743;"2";"13";"MP_fibers__2"
"MP-F. 2 Vol.-%";"MP_fibers";"133";4,90597064;-55,00756294;62,76088639;"2";"13";"MP_fibers__2"
"MP-P. 2 Vol.-%";"MP_particles";"201";16,87129968;47,22226422;56,10900637;"2";"20";"MP_particles__2"
"MP-P. 2 Vol.-%";"MP_particles";"202";5,190998884;27,53183229;64,91430387;"2";"20";"MP_particles__2"
"MP-P. 2 Vol.-%";"MP_particles";"203";12,97995893;20,3781538;40,1606373;"2";"20";"MP_particles__2"
"Control";"control";"241";10,6493737;44,96089859;33,22820076;"0";"24";"control__0"
"Control";"control";"242";8,599599064;22,66589112;55,99373228;"0";"24";"control__0"
"Control";"control";"243";8,168987063;9,240578136;34,15414606;"0";"24";"control__0"
"MP-P. 2 Vol.-%";"MP_particles";"261";8,322766374;23,21029604;41,33621179;"2";"26";"MP_particles__2"
"MP-P. 2 Vol.-%";"MP_particles";"262";11,61845459;-12,38012293;43,52146277;"2";"26";"MP_particles__2"
"MP-P. 2 Vol.-%";"MP_particles";"263";4,673383969;29,10610785;42,77391939;"2";"26";"MP_particles__2"
"Control";"control";"331";8,228191645;1,335511474;31,2181553;"0";"33";"control__0"
"Control";"control";"332";7,745339278;0,340223465;51,93427434;"0";"33";"control__0"
"Control";"control";"341";8,684202443;11,01888109;97,25253079;"0";"34";"control__0"
"Control";"control";"342";3,05113421;40,07595947;91,83250112;"0";"34";"control__0"
"Control";"control";"343";4,31354951;0,843021749;86,51952616;"0";"34";"control__0"
"MP-P. 2 Vol.-%";"MP_particles";"351";11,19732848;24,63693391;39,81513986;"2";"35";"MP_particles__2"
"MP-P. 2 Vol.-%";"MP_particles";"352";7,898413514;4,880725471;67,05697209;"2";"35";"MP_particles__2"
"MP-P. 2 Vol.-%";"MP_particles";"353";4,730109705;24,13852864;25,82705906;"2";"35";"MP_particles__2"
"MP-F. 2 Vol.-%";"MP_fibers";"401";8,436343629;22,20080559;61,21617;"2";"40";"MP_fibers__2"
"MP-F. 2 Vol.-%";"MP_fibers";"402";9,396545787;14,19675076;25,49701144;"2";"40";"MP_fibers__2"
"MP-F. 2 Vol.-%";"MP_fibers";"403";21,50741794;40,08665588;68,99350356;"2";"40";"MP_fibers__2"
"MP-P. 2 Vol.-%";"MP_particles";"491";9,559522237;-3,77459196;29,53691233;"2";"49";"MP_particles__2"
"MP-P. 2 Vol.-%";"MP_particles";"492";18,99280459;0,753527121;67,77497157;"2";"49";"MP_particles__2"
"MP-P. 2 Vol.-%";"MP_particles";"493";18,39212537;12,33925921;63,29206775;"2";"49";"MP_particles__2"
"MP-F. 2 Vol.-%";"MP_fibers";"561";16,86902239;27,1454429;62,40698038;"2";"56";"MP_fibers__2"
"MP-F. 2 Vol.-%";"MP_fibers";"562";4,063629257;-8,841815798;84,03517552;"2";"56";"MP_fibers__2"
"MP-F. 2 Vol.-%";"MP_fibers";"563";3,799252679;-3,899069138;48,12067386;"2";"56";"MP_fibers__2"
"Control";"control";"721";7,511330181;16,2171962;58,45202918;"0";"72";"control__0"
"Control";"control";"722";11,95858865;36,05391458;64,48939171;"0";"72";"control__0"
"Control";"control";"723";19,34679332;12,50914856;87,59205019;"0";"72";"control__0"
"MP-P. 2 Vol.-%";"MP_particles";"801";5,478636377;11,1545485;50,00763812;"2";"80";"MP_particles__2"
"MP-P. 2 Vol.-%";"MP_particles";"802";10,31904639;4,539307462;33,15812645;"2";"80";"MP_particles__2"
"MP-P. 2 Vol.-%";"MP_particles";"803";35,02118968;-4,01680744;110,1349633;"2";"80";"MP_particles__2"
"Control";"control";"821";6,045943855;10,2771052;24,40142349;"0";"82";"control__0"
"Control";"control";"822";9,334247378;1,185503179;33,18466961;"0";"82";"control__0"
"Control";"control";"823";7,172364197;5,000432176;25,64884056;"0";"82";"control__0"
"Control";"control";"861";3,79131209;40,89971251;40,45743299;"0";"86";"control__0"
"Control";"control";"862";4,421796346;18,1802859;40,62782501;"0";"86";"control__0"
"Control";"control";"863";5,471321495;14,71387631;83,56719495;"0";"86";"control__0"
"MP-F. 2 Vol.-%";"MP_fibers";"981";6,508583991;8,314793595;46,83450945;"2";"98";"MP_fibers__2"
"MP-F. 2 Vol.-%";"MP_fibers";"982";13,10511871;42,7745158;72,15530044;"2";"98";"MP_fibers__2"
"MP-F. 2 Vol.-%";"MP_fibers";"983";3,398110161;10,15965082;NA;"2";"98";"MP_fibers__2"
"MP-P. 2 Vol.-%";"MP_particles";"1011";4,238198984;15,94738481;58,16761874;"2";"101";"MP_particles__2"
"MP-P. 2 Vol.-%";"MP_particles";"1012";3,037552657;4,222360956;39,13677716;"2";"101";"MP_particles__2"
"MP-F. 2 Vol.-%";"MP_fibers";"1281";2,60657912;1,303585681;55,6634927;"2";"128";"MP_fibers__2"
"MP-F. 2 Vol.-%";"MP_fibers";"1282";3,686378474;27,75690591;0,21153725;"2";"128";"MP_fibers__2"
"MP-F. 2 Vol.-%";"MP_fibers";"1283";5,640880188;2,403014794;59,07039138;"2";"128";"MP_fibers__2"
